location_id,outlet_code,location_name,region,kiosk_count,location_live_date,kiosk_id,kiosk_serial_number,kiosk_hardware_model,assigned_at,unassigned_at,is_currently_assigned
276dcaa3-c1a0-46df-9b3a-98bed38642c6,7K,Courtyard by Marriott SSM,United Kingdom,2,2023-09-21 00:00:00,d6bc66dd-1ba9-46aa-8b8a-3a7dbf28a57f,WKG-POS-372,,2026-04-18 12:46:14.884446+00,,TRUE
f7360fc3-67e5-4bf1-9a1e-aa342b768aa9,8S,Ibis Styles Madrid Airport,Spain,2,2025-08-12 00:00:00,df2e00f9-0239-4d1c-9f83-4fdeb428cece,WKG-POS-223,,2026-04-18 12:45:33.979599+00,,TRUE
f7360fc3-67e5-4bf1-9a1e-aa342b768aa9,8S,Ibis Styles Madrid Airport,Spain,2,2025-08-12 00:00:00,00e0a161-f8f0-47df-8efe-bfe8ea40a284,WKG-POS-298,,2026-04-18 12:46:29.180329+00,,TRUE
39afdf84-1d10-4dd0-99bd-c832e0d90b9e,9S,Melia Barajas,Spain,2,2024-08-08 09:50:00,d281320a-fae7-4cda-a522-679abc42637d,WKG-POS-091,,2026-04-18 12:42:39.197082+00,,TRUE
39afdf84-1d10-4dd0-99bd-c832e0d90b9e,9S,Melia Barajas,Spain,2,2024-08-08 09:50:00,15e34263-da70-4f9f-8843-8e90fae6c2c7,WKG-POS-349,,2026-04-18 12:46:39.408632+00,,TRUE
afe15c7c-0f9d-4521-85f3-3342d4f57ef6,C1,CBS OTH,United Kingdom,2,2025-04-28 00:00:00,2ffd6109-f99c-4e76-9c35-a04a06301ebd,WKG-POS-134,,2026-04-20 12:31:44.201289+00,,TRUE
afe15c7c-0f9d-4521-85f3-3342d4f57ef6,C1,CBS OTH,United Kingdom,2,2025-04-28 00:00:00,713d1af9-4c08-43ea-af53-fc358a0d6943,WKG-POS-351,,2026-04-20 12:33:33.943591+00,,TRUE
7de87861-d355-475e-bf40-952289a89b96,C2,CBS OTH,United Kingdom,2,2025-04-28 00:00:00,0fd55d8b-2ebf-419e-9a91-2b87643bba03,WKG-POS-153,,2026-04-20 12:32:06.570858+00,,TRUE
7de87861-d355-475e-bf40-952289a89b96,C2,CBS OTH,United Kingdom,2,2025-04-28 00:00:00,9559d326-a9de-45ff-816f-27aaef9b1f0c,WKG-POS-352,,2026-04-20 12:33:35.567546+00,,TRUE
7f0e115a-97d8-4e3d-a7a4-b7d413288e28,J6,Zedwell Park Lane,United Kingdom,2,2026-02-09 04:57:00,ec1475fb-5677-48b7-ac1e-fe6a2657f19d,WKG-POS-009,,2026-04-20 12:24:06.848754+00,,TRUE
7f0e115a-97d8-4e3d-a7a4-b7d413288e28,J6,Zedwell Park Lane,United Kingdom,2,2026-02-09 04:57:00,5691e0ad-c2ba-48be-90cc-168a32206ee7,WKG-POS-550,,2026-04-20 12:24:14.723184+00,,TRUE
262dbfec-4939-4d78-ae77-ed0498c3cd53,K1,Ibis Madrid Norte Las Tablas,Spain,2,2025-06-26 06:05:00,6cdaf8bd-a128-4b7c-9873-5b27d7d1f69c,WKG-POS-300,,2026-04-18 12:40:11.945269+00,,TRUE
262dbfec-4939-4d78-ae77-ed0498c3cd53,K1,Ibis Madrid Norte Las Tablas,Spain,2,2025-06-26 06:05:00,3b1fa0a7-957c-430c-bf1a-1acb4a93ae21,WKG-POS-185,,2026-04-18 12:40:49.20341+00,,TRUE
657aa9ad-e87e-4bff-baab-f2e5397e50b4,K4,Moxy Hotel SSM,United Kingdom,2,2023-09-12 00:00:00,0539f6ee-eab4-42c4-87d1-fa273ff2f270,WKG-POS-338,,2026-04-18 12:36:36.789207+00,,TRUE
657aa9ad-e87e-4bff-baab-f2e5397e50b4,K4,Moxy Hotel SSM,United Kingdom,2,2023-09-12 00:00:00,2712cc95-fb45-4869-a397-35a01ec5f5b6,WKGSBBATHRD1,KONG Self-Stadning,2026-04-18 12:44:33.584399+00,,TRUE
6240be15-58ac-4420-b375-2021b971af17,K5,Holiday Inn Express T5 SSM,United Kingdom,2,2023-09-12 00:00:00,aec00d20-e142-41ae-99b9-49db44bae0c7,WKG-POS-339,,2026-04-18 12:38:19.485117+00,,TRUE
